Site,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,period,ssp
Thumb,8.399999619,5.599999905,26.5,549.5,19.70000076,-1.399999976,21.10000038,8.5,16.60000038,15.80000019,2.900000095,1544,171,79,21.20000076,469,287,356,396,2041-2060,85
Thumb,3.291666746,6.033333302,27.42424202,574.8313599,14.69999981,-7.300000191,22,4.666666508,10.51666641,10.60000038,-2.916666746,1364,159,79,21.18741798,436,274,336,317,1970-2000,NA
McDonell_L,6.300000191,9.600000381,29.5,796.7999878,23.89999962,-8.600000381,32.5,7.099999905,1.5,16.39999962,-3.400000095,853,122,41,34.59999847,307,140,176,229,2041-2060,26
McDonell_L,7.800000191,9.600000381,29.39999962,816.2000122,26.39999962,-6.199999809,32.59999847,8,2.299999952,18.39999962,-1.799999952,879,130,45,36.20000076,324,144,174,231,2041-2060,85
McDonell_L,2.591666698,9.716666222,31.75381279,755.2658691,18.89999962,-11.69999981,30.59999847,-2.25,2.299999952,11.84999943,-6.683333397,794,102,40,31.26765633,274,130,166,229,1970-2000,NA
Mercer_L,10.39999962,4,26.39999962,407.6000061,18.89999962,3.900000095,15,8.199999809,15.39999962,16,6.099999905,2507,377,83,45.40000153,1003,298,427,763,2041-2060,26
Mercer_L,11.30000019,3.900000095,26.10000038,417.6000061,20.20000076,5.199999809,15,9,16.60000038,17.20000076,7.099999905,2557,398,79,46.59999847,1033,291,421,763,2041-2060,85
Mercer_L,7.370833397,4.108333111,28.93192482,379.3262939,15.39999962,1.200000048,14.19999981,5.816666603,11.83333302,12.51666641,3.366666555,2370,326,87,39.80834198,893,307,413,733,1970-2000,NA
Nahatlatch_Lake,11.19999981,9.100000381,26.89999962,819.2999878,30.79999924,-3,33.79999924,1.399999976,21.79999924,21.10000038,1,978,166,25,56.90000153,436,95,95,357,2041-2060,26
Nahatlatch_Lake,12.60000038,9.199999809,25.79999924,873.5,34.09999847,-1.399999976,35.5,3.200000048,24.39999962,23.39999962,2.099999905,977,163,22,58.09999847,437,85,94,358,2041-2060,85
Nahatlatch_Lake,7.379166603,8.841666222,29.08443069,747.0014648,24.29999924,-6.099999905,30.39999962,-1.049999952,16.35000038,16.35000038,-2.016666651,916,140,31,52.54732895,401,104,104,349,1970-2000,NA
Nahlin_R,5.599999905,9.800000191,25.89999962,1013.700012,24.89999962,-12.89999962,37.79999924,7.5,0.5,17.79999924,-7.400000095,698,95,24,34.59999847,248,101,175,170,2041-2060,26
Nahlin_R,7.099999905,9.699999809,26.10000038,1000.299988,27.10000038,-9.899999619,37,8.399999619,1.5,19.5,-5.400000095,719,100,26,35.09999847,259,103,176,174,2041-2060,85
Nahlin_R,1.791666627,10.30000019,27.61394119,1008.981995,20.79999924,-16.5,37.29999924,8.649999619,2.599999905,13.61666679,-11.16666698,622,79,23,32.9006424,214,94,154,162,1970-2000,NA
Nahwitti_R,11.60000038,5.800000191,31.79999924,466.1000061,21.60000038,3.5,18.10000038,8.800000191,17.5,17.5,6,2419,376,61,53.90000153,1042,233,312,820,2041-2060,26
Nahwitti_R,12.60000038,5.800000191,31.29999924,479.8999939,23.10000038,4.699999809,18.39999962,9.5,18.79999924,18.79999924,7,2464,370,54,54.29999924,1054,215,318,830,2041-2060,85
Nahwitti_R,8.416666985,5.733333111,33.92505264,431.5317993,17.79999924,0.899999976,16.89999962,3.866666555,13.55000019,13.89999962,3.316666603,2279,313,72,47.07663727,905,257,319,805,1970-2000,NA
Nanika_R,7.300000191,9.600000381,30.70000076,731.7999878,24.20000076,-7,31.20000076,3.400000095,16.79999924,16.39999962,-1.600000024,1142,178,45,51.09999847,487,156,156,374,2041-2060,26
Nanika_R,8.699999809,9.600000381,30.39999962,755.2999878,26.79999924,-4.800000191,31.60000038,4.5,19,18.39999962,-0.100000001,1171,189,42,52.40000153,509,151,151,376,2041-2060,85
Nanika_R,3.5625,9.625,32.96232986,683.4974365,19.20000076,-10,29.20000076,-0.299999952,6.483333588,11.96666718,-4.800000191,1078,151,46,48.68276596,441,144,152,379,1970-2000,NA
Nimpkish_L,12.5,6.699999809,33.5,500,24.39999962,4.300000191,20.10000038,9.5,18.79999924,18.60000038,6.599999905,2205,376,50,59.79999924,999,205,244,767,2041-2060,26
Nimpkish_L,13.69999981,6.800000191,31.70000076,525.0999756,26.70000076,5.300000191,21.39999962,10.30000019,20.60000038,20.29999924,7.699999809,2216,354,43,59.59999847,995,187,244,768,2041-2060,85
Nimpkish_L,8.979166985,6.525000095,36.04972458,439.4493408,19.79999924,1.700000048,18.09999847,4.433333397,14.38333321,14.63333321,3.950000048,2099,319,59,53.90808487,899,226,257,775,1970-2000,NA
Okanagan,14,13.39999962,32.70000076,986.4000244,37.90000153,-3,40.90000153,1.399999976,28,26.20000076,1.600000024,284,48,8,52.29999924,125,30,37,109,2041-2060,26
Okanagan,15.5,13.5,31.79999924,1036.199951,41,-1.399999976,42.40000153,3,30.60000038,28.5,2.799999952,284,48,7,52.20000076,125,30,35,108,2041-2060,85
Okanagan,9.908333778,12.89999962,34.03693771,930.0557861,30.89999962,-7,37.90000153,-0.966666639,20.39999962,21.13333321,-1.949999928,270,44,10,45.59712601,113,36,42,103,1970-2000,NA
Osoyoos,13.89999962,11.69999981,31.5,909.5999756,36.09999847,-1.200000048,37.29999924,18.20000076,27.10000038,25.29999924,2.700000048,336,41,14,34.5,110,49,75,92,2041-2060,26
Osoyoos,15.39999962,11.89999962,30.39999962,966.2000122,39.40000153,0.400000006,39,19.29999924,30,27.79999924,3.900000095,332,40,13,35.09999847,109,46,69,91,2041-2060,85
Osoyoos,9.895833015,11.42500019,33.80177689,844.2626343,28.89999962,-4.900000095,33.79999924,14.41666698,15.5666666,20.29999924,-0.616666675,319,39,16,28.05899811,99,53,82,86,1970-2000,NA
Pierre_Cr,6.599999905,10.80000019,29.20000076,889.5999756,25.60000038,-11.19999981,36.79999924,2.200000048,1.299999952,17.29999924,-4.800000191,520,59,22,25.20000076,155,81,143,130,2041-2060,26
Pierre_Cr,8.100000381,10.69999981,29.10000038,902,28.29999924,-8.5,36.79999924,3.299999952,2.099999905,19.29999924,-3,532,62,23,26.70000076,162,82,142,132,2041-2060,85
Pierre_Cr,2.783333302,11,31.51862526,864.7210083,20.29999924,-14.60000038,34.90000153,-6.966666698,-2.016666651,13.04999924,-8.333333015,481,51,20,23.47243309,144,77,138,126,1970-2000,NA
Raft_R,10.5,11.60000038,29.29999924,954.9000244,32.70000076,-6.900000095,39.59999847,4.599999905,5.699999809,22.10000038,-1.700000048,528,60,24,24.79999924,162,86,146,129,2041-2060,26
Raft_R,12,11.60000038,28.20000076,1002.5,36.09999847,-5.099999905,41.20000076,5.5,6.5,24.5,-0.400000006,524,58,24,25.5,168,87,130,133,2041-2060,85
Raft_R,6.754166603,11.57499981,31.71232986,903.6553345,26.29999924,-10.19999981,36.5,17.53333282,2.633333445,17.53333282,-4.849999905,503,54,23,23.89619255,155,81,155,124,1970-2000,NA
Sakinaw_L,14.10000038,6.300000191,28.70000076,575.2999878,27.39999962,5.300000191,22.10000038,7.599999905,22.60000038,21.39999962,7.5,1411,247,35,55.40000153,603,129,141,477,2041-2060,26
Sakinaw_L,15.39999962,6.5,27,618.9000244,30.39999962,6.5,23.89999962,11.30000019,25.10000038,23.5,8.699999809,1396,235,29,55.5,593,123,126,470,2041-2060,85
Sakinaw_L,10.28333378,5.966666698,31.07638741,500.0787964,21.70000076,2.5,19.20000076,5.133333206,16.56666756,16.79999924,4.783333302,1356,210,43,49.22238541,567,149,159,483,1970-2000,NA
Sampson_Cr_Lillooet,11.10000038,9.5,29.29999924,810.7000122,29.89999962,-2.599999905,32.5,5.900000095,21.79999924,21,1.200000048,1113,193,31,60.20000076,518,115,115,389,2041-2060,26
Sampson_Cr_Lillooet,12.5,9.600000381,28,864.9000244,33.29999924,-1,34.29999924,6.699999809,24.39999962,23.39999962,2.299999952,1118,188,28,61,521,105,105,391,2041-2060,85
Sampson_Cr_Lillooet,7.383333206,9.300000191,31.74061394,737.7802734,23.70000076,-5.599999905,29.30000114,-1.083333373,16.35000038,16.35000038,-1.716666698,1047,164,38,55.12875366,458,123,123,387,1970-2000,NA
Shawatlan_L,10.69999981,6.599999905,30.39999962,552.9000244,22,0.200000003,21.79999924,7.300000191,17.70000076,17.5,4.199999809,2672,442,97,46.09999847,1078,342,342,737,2041-2060,26
Shawatlan_L,11.89999962,6.599999905,30.10000038,562.2999878,23.70000076,1.799999952,21.89999962,8.199999809,19.20000076,18.89999962,5.400000095,2759,474,89,48.5,1133,327,327,746,2041-2060,85
